"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"1","1","2018-10-17","@","NYK","L","107","126","41","90",".456","10","36",".278","15","18",".833","7","45","19","7","3","24","30","","45","99",".455","12","33",".364","24","31",".774","10","46","21","12","6","15","23","94.3","111.0","113.5",".200",".400",".546","49.5","46.3","6.2","4.5","",".511","19.7","16.3",".167","",".515","11.8","79.2",".242"
"2","2","2018-10-19","@","MEM","L","117","131","41","83",".494","14","30",".467","21","36",".583","11","40","27","9","5","19","31","","44","81",".543","13","26",".500","30","43",".698","7","41","32","9","4","16","29","110.4","123.6","106.0",".434",".361",".592","49.4","65.9","8.5","9.1","",".578","16.1","24.4",".253","",".623","13.8","80.6",".370"
"3","3","2018-10-21","@","CLE","W","133","111","48","98",".490","22","47",".468","15","19",".789","9","44","32","9","7","12","21","","46","99",".465","10","27",".370","9","14",".643","15","49","23","5","2","18","25","125.5","104.7","106.0",".194",".480",".625","47.3","66.7","8.5","9.7","",".602","10.1","20.9",".153","",".515","14.6","70.0",".091"
"4","4","2018-10-24","","DAL","W","111","104","37","91",".407","15","38",".395","22","31",".710","10","54","28","6","6","15","26","","38","91",".418","12","40",".300","16","26",".615","9","52","25","7","9","17","27","102.7","96.2","108.1",".341",".418",".530","50.9","75.7","5.5","11.8","",".489","12.5","18.9",".242","",".484","14.2","83.0",".176"
"5","5","2018-10-27","","CHI","L","85","97","27","84",".321","12","40",".300","19","23",".826","11","48","20","9","8","22","13","","36","83",".434","12","33",".364","13","16",".813","8","52","25","14","6","20","21","83.6","95.3","101.7",".274",".476",".452","48.0","74.1","8.8","16.0","",".393","18.9","20.0",".226","",".506","18.2","82.2",".157"
"6","6","2018-10-29","@","PHI","L","92","113","35","94",".372","8","37",".216","14","21",".667","10","47","20","10","3","13","18","","41","99",".414","14","47",".298","17","18",".944","16","64","33","7","9","19","22","87.2","107.1","105.5",".223",".394",".446","42.3","57.1","9.5","5.8","",".415","11.2","17.2",".149","",".485","15.1","69.8",".172"
"7","7","2018-10-30","@","CLE","L","114","136","44","82",".537","15","35",".429","11","17",".647","6","39","25","6","8","22","29","","45","90",".500","13","25",".520","33","43",".767","13","48","23","13","1","13","20","107.8","128.6","105.7",".207",".427",".637","44.8","56.8","5.7","12.3","",".628","19.7","14.6",".134","",".572","10.7","71.7",".367"
"8","8","2018-11-01","","SAC","L","115","146","42","87",".483","8","31",".258","23","34",".676","10","43","26","6","6","22","28","","53","98",".541","14","35",".400","26","32",".813","10","46","38","14","3","14","29","101.9","129.4","112.9",".391",".356",".564","48.3","61.9","5.3","9.5","",".529","17.7","21.7",".264","",".612","11.1","76.7",".265"
"9","9","2018-11-03","","MIA","W","123","118","46","88",".523","13","32",".406","18","23",".783","8","37","33","11","7","16","21","","41","85",".482","16","40",".400","20","26",".769","13","41","27","6","6","17","20","122.4","117.4","100.5",".261",".364",".627","47.4","71.7","10.9","15.6","",".597","14.0","22.2",".205","",".576","15.0","69.0",".235"
"10","10","2018-11-06","@","CHO","L","102","113","41","85",".482","6","30",".200","14","18",".778","7","37","22","13","9","22","18","","45","92",".489","13","31",".419","10","18",".556","8","43","27","9","4","21","16","94.5","104.6","108.0",".212",".353",".549","46.3","53.7","12.0","14.8","",".518","19.1","16.7",".165","",".560","17.4","78.9",".109"
"11","11","2018-11-07","","NYK","L","107","112","37","92",".402","11","38",".289","22","29",".759","15","45","26","5","9","17","30","","34","77",".442","11","30",".367","33","47",".702","11","48","15","8","7","16","30","105.4","110.3","101.5",".315",".413",".511","48.4","70.3","4.9","19.1","",".462","14.0","28.8",".239","",".513","14.1","73.2",".429"
"12","12","2018-11-09","","DET","L","109","124","36","79",".456","7","28",".250","30","40",".750","9","53","17","6","2","16","21","","46","97",".474","20","47",".426","12","19",".632","10","44","30","10","6","10","31","105.9","120.5","102.9",".506",".354",".564","54.6","47.2","5.8","4.0","",".500","14.2","20.9",".380","",".577","8.7","81.5",".124"
"13","13","2018-11-11","@","LAL","L","106","107","41","95",".432","13","37",".351","11","13",".846","10","44","25","11","4","17","23","","39","92",".424","14","38",".368","15","24",".625","17","48","28","12","9","22","23","102.0","103.0","103.9",".137",".389",".526","47.8","61.0","10.6","7.4","",".500","14.4","24.4",".116","",".500","17.7","66.7",".163"
"14","14","2018-11-13","@","GSW","L","103","110","40","89",".449","12","32",".375","11","15",".733","10","42","25","9","2","14","18","","39","91",".429","12","27",".444","20","21",".952","13","48","28","8","6","13","20","106.4","113.6","96.8",".169",".360",".539","46.7","62.5","9.3","3.1","",".517","12.8","22.2",".124","",".495","11.5","71.1",".220"
"15","15","2018-11-15","@","DEN","L","93","138","32","92",".348","9","42",".214","20","27",".741","15","43","20","7","5","19","22","","53","94",".564","13","31",".419","19","25",".760","11","56","34","12","6","15","24","87.6","130.0","106.2",".293",".457",".448","43.4","62.5","6.6","7.9","",".397","15.5","25.0",".217","",".633","12.5","71.8",".202"
"16","16","2018-11-17","@","IND","L","89","97","31","87",".356","8","29",".276","19","27",".704","5","41","20","15","6","18","24","","35","87",".402","12","30",".400","15","21",".714","10","53","25","11","6","22","26","82.8","90.3","107.4",".310",".333",".450","43.6","64.5","14.0","10.5","",".402","15.4","10.4",".218","",".471","18.6","78.3",".172"
"17","17","2018-11-19","","LAC","L","119","127","45","101",".446","12","38",".316","17","19",".895","16","51","29","6","6","14","38","","40","93",".430","10","33",".303","37","47",".787","15","52","24","9","8","15","22","111.1","118.5","107.1",".188",".376",".544","49.5","64.4","5.6","10.0","",".505","11.3","30.2",".168","",".484","11.7","70.0",".398"
"18","18","2018-11-21","","TOR","L","108","124","42","93",".452","10","36",".278","14","18",".778","9","34","24","10","7","9","21","","48","90",".533","11","29",".379","17","23",".739","14","55","33","6","1","17","21","108.3","124.3","99.7",".194",".387",".535","38.2","57.1","10.0","11.5","",".505","8.2","18.0",".151","",".594","14.5","64.1",".189"
"19","19","2018-11-23","","BOS","L","96","114","35","81",".432","6","35",".171","20","29",".690","5","40","22","9","7","20","26","","42","91",".462","13","40",".325","17","21",".810","7","43","31","11","7","16","29","90.0","106.9","106.6",".358",".432",".512","48.2","62.9","8.4","13.7","",".469","17.6","12.2",".247","",".533","13.8","83.3",".187"
"20","20","2018-11-25","","CHO","W","124","123","50","94",".532","16","39",".410","8","11",".727","9","41","34","5","9","15","23","","41","92",".446","18","45",".400","23","28",".821","10","42","30","8","4","10","15","122.0","121.0","101.6",".117",".415",".627","49.4","68.0","4.9","19.1","",".617","13.2","22.0",".085","",".543","8.7","76.2",".250"
"21","21","2018-11-27","@","MIA","W","115","113","38","80",".475","12","31",".387","27","32",".844","10","46","22","13","7","24","24","","40","87",".460","13","38",".342","20","30",".667","11","43","22","20","3","20","25","107.8","105.9","106.7",".400",".388",".611","51.7","57.9","12.2","14.3","",".550","20.3","23.8",".338","",".534","16.6","76.6",".230"
"22","22","2018-11-28","@","CHO","L","94","108","32","93",".344","11","44",".250","19","22",".864","16","54","20","11","8","19","25","","38","83",".458","4","20",".200","28","37",".757","5","44","20","15","5","14","21","90.4","103.8","104.0",".237",".473",".458","55.1","62.5","10.6","12.7","",".403","15.6","29.1",".204","",".482","12.4","88.4",".337"
"23","23","2018-11-30","@","OKC","L","109","124","43","96",".448","11","36",".306","12","20",".600","14","42","26","15","3","21","12","","46","88",".523","18","41",".439","14","15",".933","7","46","30","12","7","20","24","101.4","115.3","107.5",".208",".375",".520","47.7","60.5","14.0","6.4","",".505","16.7","26.4",".125","",".625","17.5","80.0",".159"
"24","24","2018-12-03","","GSW","L","111","128","44","90",".489","5","26",".192","18","24",".750","9","35","23","10","4","18","21","","48","82",".585","13","24",".542","19","22",".864","6","39","33","10","8","20","24","105.2","121.3","105.5",".267",".289",".552","47.3","52.3","9.5","6.9","",".517","15.2","21.4",".200","",".665","17.9","81.3",".232"
"25","25","2018-12-05","","WAS","L","117","131","41","92",".446","12","38",".316","23","31",".742","8","43","28","13","4","17","27","","46","95",".484","12","38",".316","27","32",".844","12","49","35","9","4","15","24","105.8","118.5","110.6",".337",".413",".554","46.7","68.3","11.8","7.0","",".511","13.9","17.8",".250","",".547","12.1","74.5",".284"
"26","26","2018-12-08","","DEN","W","106","98","40","93",".430","15","42",".357","11","16",".688","9","51","33","9","11","18","23","","36","97",".371","9","36",".250","17","21",".810","11","48","28","11","4","15","16","99.5","92.0","106.6",".172",".452",".530","51.5","82.5","8.4","18.0","",".511","15.2","19.6",".118","",".418","12.4","79.2",".175"
"27","27","2018-12-12","@","DAL","L","107","114","43","93",".462","11","33",".333","10","14",".714","16","44","21","7","2","21","30","","35","75",".467","12","34",".353","32","43",".744","4","36","22","13","5","14","16","105.6","112.5","101.3",".151",".355",".540","55.0","48.8","6.9","4.9","",".522","17.5","33.3",".108","",".547","13.0","87.5",".427"
"28","28","2018-12-14","@","BOS","L","108","129","36","86",".419","16","38",".421","20","32",".625","16","44","27","10","5","24","19","","46","95",".484","19","39",".487","18","20",".900","13","47","28","15","9","21","21","101.4","121.1","106.5",".372",".442",".540","48.4","75.0","9.4","8.9","",".512","19.3","32.0",".233","",".584","16.8","68.3",".189"
"29","29","2018-12-16","@","BRK","L","127","144","47","85",".553","14","29",".483","19","25",".760","8","33","38","9","5","14","22","","49","88",".557","16","40",".400","30","33",".909","10","39","34","12","3","13","21","125.4","142.2","101.2",".294",".341",".661","45.8","80.9","8.9","10.4","",".635","12.7","21.6",".224","",".648","11.3","71.4",".341"
"30","30","2018-12-18","","WAS","W","118","110","37","79",".468","12","32",".375","32","39",".821","13","49","23","4","5","23","29","","36","83",".434","13","40",".325","25","36",".694","9","37","26","14","1","15","32","114.7","107.0","102.8",".494",".405",".614","57.0","62.2","3.9","11.6","",".544","19.3","31.7",".405","",".512","13.2","80.0",".301"
"31","31","2018-12-21","@","NYK","W","114","107","43","91",".473","10","29",".345","18","24",".750","15","54","29","4","1","16","18","","41","84",".488","8","27",".296","17","24",".708","4","35","20","8","3","12","22","113.3","106.4","100.6",".264",".319",".561","60.7","67.4","4.0","1.8","",".527","13.6","32.6",".198","",".536","11.3","90.7",".202"
"32","32","2018-12-23","@","DET","W","98","95","36","91",".396","6","23",".261","20","25",".800","15","54","24","9","9","16","25","","34","83",".410","10","29",".345","17","27",".630","5","41","21","6","9","16","25","96.3","93.4","101.8",".275",".253",".480","56.8","66.7","8.8","16.7","",".429","13.6","29.4",".220","",".470","14.4","88.6",".205"
"33","33","2018-12-26","","IND","L","121","129","45","89",".506","17","36",".472","14","18",".778","11","41","33","8","6","19","24","","46","83",".554","13","27",".481","24","33",".727","10","39","35","13","3","16","17","118.3","126.1","102.3",".202",".404",".624","51.3","73.3","7.8","10.7","",".601","16.4","27.5",".157","",".633","14.1","75.0",".289"
"34","34","2018-12-28","@","MIN","W","123","120","47","100",".470","16","35",".457","13","20",".650","17","58","32","10","6","23","33","","44","98",".449","11","32",".344","21","38",".553","16","47","28","14","9","14","26","110.9","108.2","100.5",".200",".350",".565","55.2","68.1","9.0","9.1","",".550","17.5","35.4",".130","",".505","10.9","71.9",".214"
"35","35","2018-12-29","","CLE","W","111","108","43","98",".439","10","37",".270","15","25",".600","17","53","27","7","4","13","25","","40","85",".471","5","23",".217","23","29",".793","10","44","27","9","2","12","23","111.3","108.3","99.8",".255",".378",".509","54.6","62.8","7.0","6.5","",".490","10.7","33.3",".153","",".500","10.9","78.3",".271"
"36","36","2018-12-31","@","IND","L","108","116","41","95",".432","13","32",".406","13","19",".684","21","53","24","8","5","17","23","","42","84",".500","11","24",".458","21","29",".724","8","39","29","13","6","11","18","111.4","119.7","96.9",".200",".337",".522","57.6","58.5","8.3","8.3","",".500","14.1","40.4",".137","",".565","10.2","80.0",".250"
"37","37","2019-01-02","@","WAS","L","98","114","40","95",".421","10","31",".323","8","13",".615","13","50","26","5","6","14","19","","43","92",".467","11","29",".379","17","23",".739","10","48","29","10","2","10","20","98.4","114.4","99.6",".137",".326",".486","51.0","65.0","5.0","9.5","",".474","12.2","25.5",".084","",".527","8.9","78.7",".185"
"38","38","2019-01-04","@","MIL","L","112","144","37","85",".435","14","41",".341","24","35",".686","5","31","26","11","3","21","23","","55","100",".550","14","40",".350","20","28",".714","12","54","36","11","8","14","26","99.8","128.3","112.3",".412",".482",".558","36.5","70.3","9.8","5.0","",".518","17.3","10.6",".282","",".620","11.1","68.4",".200"
"39","39","2019-01-06","","MIA","W","106","82","43","91",".473","10","24",".417","10","13",".769","14","59","25","7","2","17","22","","31","87",".356","5","34",".147","15","27",".556","12","41","23","11","7","13","17","108.9","84.2","97.3",".143",".264",".548","59.0","58.1","7.2","3.8","",".527","14.9","32.6",".110","",".385","11.6","78.9",".172"
"40","40","2019-01-08","@","TOR","L","101","104","40","87",".460","10","27",".370","11","16",".688","13","50","22","12","2","26","22","","37","80",".463","10","32",".313","20","27",".741","6","39","26","18","7","18","20","97.3","100.2","103.8",".184",".310",".537","56.2","55.0","11.6","4.2","",".517","21.7","28.3",".126","",".525","16.4","86.0",".250"
"41","41","2019-01-09","@","BRK","L","100","116","36","99",".364","6","35",".171","22","25",".880","18","52","17","8","6","19","24","","43","95",".453","10","30",".333","20","26",".769","18","54","21","10","9","18","28","95.4","110.7","104.8",".253",".354",".455","49.1","47.2","7.6","9.2","",".394","14.7","33.3",".222","",".505","14.5","65.4",".211"
"42","42","2019-01-11","@","PHI","W","123","121","45","81",".556","12","25",".480","21","27",".778","15","44","27","7","4","21","24","","45","87",".517","11","33",".333","20","27",".741","11","30","31","13","4","15","23","125.4","123.3","98.1",".333",".309",".662","59.5","60.0","7.1","7.4","",".630","18.4","44.1",".259","",".580","13.2","72.5",".230"
"43","43","2019-01-13","","MIL","L","114","133","39","96",".406","12","38",".316","24","30",".800","18","54","19","3","5","24","30","","49","92",".533","11","30",".367","24","33",".727","8","39","28","13","4","14","25","103.4","120.7","110.2",".313",".396",".522","58.1","48.7","2.7","8.1","",".469","18.0","36.7",".250","",".592","11.6","81.8",".261"
"44","44","2019-01-15","","OKC","W","142","126","56","90",".622","18","37",".486","12","16",".750","10","44","36","8","4","18","28","","43","94",".457","9","32",".281","31","41",".756","15","40","22","16","3","12","18","135.4","120.2","104.9",".178",".411",".732","52.4","64.3","7.6","6.5","",".722","15.6","28.6",".133","",".505","9.7","69.4",".330"
"45","45","2019-01-19","","BOS","L","105","113","40","92",".435","12","41",".293","13","14",".929","13","49","28","8","6","20","20","","39","88",".443","12","32",".375","23","25",".920","11","43","19","10","8","15","18","103.8","111.7","101.1",".152",".446",".535","53.3","70.0","7.9","10.7","",".500","16.9","28.9",".141","",".511","13.2","76.6",".261"
"46","46","2019-01-21","","ORL","L","103","122","39","86",".453","9","30",".300","16","23",".696","9","44","23","5","3","13","24","","46","91",".505","11","29",".379","19","21",".905","9","45","29","8","8","11","22","103.7","122.8","99.3",".267",".349",".536","49.4","59.0","5.0","4.8","",".506","11.9","20.0",".186","",".566","9.9","79.5",".209"
"47","47","2019-01-23","@","CHI","W","121","101","45","90",".500","15","40",".375","16","21",".762","16","51","31","11","2","17","20","","35","79",".443","8","26",".308","23","27",".852","7","37","20","7","6","15","21","123.7","103.3","97.8",".233",".444",".610","58.0","68.9","11.2","3.8","",".583","14.6","34.8",".178","",".494","14.2","83.3",".291"
"48","48","2019-01-26","@","POR","L","111","120","42","92",".457","12","33",".364","15","20",".750","9","36","24","9","7","10","27","","41","82",".500","11","30",".367","27","30",".900","11","47","26","8","7","18","23","111.8","120.8","99.3",".217",".359",".551","43.4","57.1","9.1","13.5","",".522","9.0","20.0",".163","",".567","15.9","71.1",".329"
"49","49","2019-01-28","@","LAC","W","123","118","44","87",".506","10","34",".294","25","29",".862","15","44","28","7","6","17","25","","41","85",".482","10","27",".370","26","28",".929","13","38","27","10","4","16","26","125.5","120.4","98.0",".333",".391",".616","53.7","63.6","7.1","10.3","",".563","14.6","37.5",".287","",".541","14.1","69.0",".306"
"50","50","2019-01-30","@","SAC","L","113","135","38","86",".442","16","46",".348","21","25",".840","9","36","24","7","3","20","19","","54","99",".545","11","35",".314","16","21",".762","15","53","36","7","2","14","24","107.4","128.3","105.2",".291",".535",".582","40.4","63.2","6.7","4.7","",".535","17.1","19.1",".244","",".601","11.5","64.3",".162"
"51","51","2019-02-01","@","UTA","L","112","128","39","98",".398","14","46",".304","20","24",".833","8","40","23","11","4","11","27","","46","87",".529","12","35",".343","24","30",".800","11","51","31","4","6","15","22","106.2","121.4","105.4",".245",".469",".516","44.0","59.0","10.4","7.7","",".469","9.2","16.7",".204","",".598","13.0","74.4",".276"
"52","52","2019-02-02","@","PHO","W","118","112","43","84",".512","14","32",".438","18","26",".692","16","53","21","6","5","24","18","","45","96",".469","12","32",".375","10","18",".556","10","37","31","15","5","10","23","115.9","110.0","101.8",".310",".381",".618","58.9","48.8","5.9","7.8","",".595","20.1","37.2",".214","",".531","8.8","78.7",".104"
"53","53","2019-02-04","@","WAS","W","137","129","46","91",".505","20","40",".500","25","29",".862","14","50","29","7","2","12","22","","48","97",".495","12","38",".316","21","29",".724","13","40","34","5","8","8","20","136.4","128.5","100.4",".319",".440",".660","55.6","63.0","7.0","3.4","",".615","10.4","34.1",".275","",".557","6.8","73.5",".216"
"54","54","2019-02-07","","TOR","L","101","119","36","80",".450","16","35",".457","13","25",".520","8","42","25","5","3","17","25","","40","87",".460","13","40",".325","26","33",".788","12","50","29","6","2","8","23","104.2","122.7","96.9",".313",".438",".555","45.7","69.4","5.2","6.4","",".550","15.7","17.4",".163","",".534","7.3","73.9",".299"
"55","55","2019-02-09","","CHO","L","120","129","46","86",".535","14","33",".424","14","19",".737","10","36","26","10","3","18","18","","48","88",".545","19","42",".452","14","18",".778","10","37","30","12","7","13","17","122.2","131.4","98.2",".221",".384",".636","49.3","56.5","10.2","6.5","",".616","16.0","27.0",".163","",".653","11.9","72.2",".159"
"56","56","2019-02-10","","ORL","L","108","124","37","80",".463","13","32",".406","21","25",".840","5","33","27","5","6","11","21","","43","91",".473","13","37",".351","25","28",".893","11","49","29","4","9","8","21","112.9","129.6","95.7",".313",".400",".593","40.2","73.0","5.2","11.1","",".544","10.8","11.6",".263","",".544","7.2","71.8",".275"
"57","57","2019-02-12","","LAL","W","117","113","40","92",".435","16","42",".381","21","26",".808","6","47","29","8","6","20","24","","41","95",".432","14","40",".350","17","25",".680","10","44","25","10","6","15","24","105.1","101.5","111.4",".283",".457",".566","51.6","72.5","7.2","10.9","",".522","16.2","15.0",".228","",".505","12.4","80.4",".179"
"58","58","2019-02-14","","NYK","L","91","106","33","91",".363","10","38",".263","15","19",".789","10","41","19","8","4","12","24","","38","84",".452","12","31",".387","18","26",".692","11","52","21","9","9","14","22","93.8","109.3","97.0",".209",".418",".458","44.1","57.6","8.2","7.5","",".418","10.8","19.6",".165","",".524","12.8","73.8",".214"
"59","59","2019-02-22","","DET","L","122","125","43","88",".489","20","42",".476","16","19",".842","10","47","21","6","4","18","24","","46","95",".484","15","40",".375","18","28",".643","10","44","20","11","4","8","21","118.6","121.5","102.9",".216",".477",".633","51.6","48.8","5.8","7.3","",".602","15.7","22.7",".182","",".563","6.9","78.7",".189"
"60","60","2019-02-23","","PHO","W","120","112","38","92",".413","12","33",".364","32","38",".842","12","50","22","8","9","13","22","","41","93",".441","13","37",".351","17","20",".850","6","41","25","9","4","12","29","113.8","106.2","105.4",".413",".359",".552","54.9","57.9","7.6","16.1","",".478","10.7","25.5",".348","",".511","10.5","86.4",".183"
"61","61","2019-02-25","@","HOU","L","111","119","39","80",".488","17","38",".447","16","23",".696","10","41","21","6","6","17","24","","39","90",".433","15","51",".294","26","30",".867","12","37","24","11","4","12","18","115.4","123.7","96.2",".288",".475",".616","52.6","53.8","6.2","15.4","",".594","15.9","28.6",".200","",".517","10.4","72.1",".289"
"62","62","2019-02-27","","MIN","W","131","123","46","108",".426","12","29",".414","27","32",".844","18","65","32","1","6","12","25","","44","102",".431","12","38",".316","23","33",".697","9","47","29","8","7","6","24","117.6","110.5","100.8",".296",".269",".537","58.0","69.6","0.9","9.4","",".481","8.9","32.1",".250","",".490","4.9","83.9",".225"
"63","63","2019-03-01","","CHI","L","161","168","61","123",".496","22","60",".367","17","25",".680","9","59","33","11","8","20","34","","56","119",".471","21","48",".438","35","48",".729","11","62","30","10","5","16","30","112.9","117.9","100.6",".203",".488",".601","48.8","54.1","7.7","11.3","",".585","13.0","15.0",".138","",".559","10.2","82.0",".294"
"64","64","2019-03-03","@","CHI","W","123","118","42","89",".472","21","42",".500","18","28",".643","11","46","30","10","5","13","18","","47","92",".511","8","27",".296","16","21",".762","9","42","25","6","5","14","20","119.9","115.0","102.6",".315",".472",".607","52.3","71.4","9.7","7.7","",".590","11.4","25.0",".202","",".554","12.1","79.5",".174"
"65","65","2019-03-04","@","MIA","L","113","114","38","91",".418","17","46",".370","20","25",".800","16","42","25","9","2","14","21","","44","79",".557","9","23",".391","17","24",".708","7","40","23","9","7","18","24","115.8","116.8","97.6",".275",".505",".554","51.2","65.8","9.2","3.6","",".511","12.1","32.7",".220","",".614","16.7","78.8",".215"
"66","66","2019-03-06","","SAS","L","104","111","36","92",".391","13","43",".302","19","24",".792","11","47","21","8","2","14","18","","44","89",".494","10","33",".303","13","18",".722","6","49","27","4","9","16","23","99.7","106.4","104.4",".261",".467",".507","49.0","58.3","7.7","3.6","",".462","12.0","20.4",".207","",".551","14.2","85.7",".146"
"67","67","2019-03-09","","BRK","L","112","114","39","105",".371","8","41",".195","26","32",".813","18","57","22","7","2","10","37","","33","86",".384","15","44",".341","33","54",".611","15","54","21","7","3","14","23","106.0","107.9","105.7",".305",".390",".470","51.4","56.4","6.6","4.8","",".410","7.7","31.6",".248","",".471","11.3","72.2",".384"
"68","68","2019-03-10","","NOP","W","128","116","48","98",".490","17","37",".459","15","18",".833","10","56","30","4","5","9","12","","45","101",".446","18","41",".439","8","8","1.000","5","42","29","6","9","8","17","122.4","110.9","104.6",".184",".378",".604","57.1","62.5","3.8","8.3","",".577","7.8","21.3",".153","",".535","7.1","90.2",".079"
"69","69","2019-03-13","","MEM","W","132","111","52","103",".505","17","45",".378","11","14",".786","15","51","35","9","9","11","26","","38","89",".427","14","40",".350","21","26",".808","9","35","28","8","6","14","17","130.6","109.8","101.1",".136",".437",".605","59.3","67.3","8.9","18.4","",".587","9.2","36.6",".107","",".506","12.2","80.0",".236"
"70","70","2019-03-16","@","BOS","L","120","129","43","100",".430","15","40",".375","19","24",".792","19","50","27","11","5","17","25","","44","93",".473","13","36",".361","28","37",".757","11","46","30","10","7","14","21","112.6","121.0","106.6",".240",".400",".543","52.1","62.8","10.3","8.8","",".505","13.3","35.2",".190","",".543","11.4","73.8",".301"
"71","71","2019-03-17","@","ORL","L","91","101","38","91",".418","8","35",".229","7","10",".700","8","50","20","8","3","18","29","","33","85",".388","9","37",".243","26","33",".788","10","55","21","12","3","14","15","88.4","98.1","103.0",".110",".385",".477","47.6","52.6","7.8","6.3","",".462","15.9","15.1",".077","",".441","12.3","80.8",".306"
"72","72","2019-03-19","","HOU","L","105","121","39","84",".464","15","40",".375","12","15",".800","8","45","30","6","1","19","23","","40","78",".513","19","47",".404","22","30",".733","6","37","28","13","2","14","17","106.4","122.6","98.7",".179",".476",".579","54.9","76.9","6.1","3.2","",".554","17.3","20.5",".143","",".635","13.3","86.0",".282"
"73","73","2019-03-21","","UTA","W","117","114","41","87",".471","19","40",".475","16","23",".696","9","43","26","8","5","16","23","","43","94",".457","10","32",".313","18","26",".692","14","49","25","12","3","15","24","113.8","110.9","102.8",".264",".460",".602","46.7","63.4","7.8","8.1","",".580","14.1","20.5",".184","",".511","12.5","70.8",".191"
"74","74","2019-03-23","","PHI","W","129","127","49","106",".462","15","47",".319","16","21",".762","15","49","28","8","7","12","25","","42","91",".462","10","23",".435","33","39",".846","14","52","21","7","4","13","15","120.9","119.0","106.7",".198",".443",".560","48.5","57.1","7.5","10.3","",".533","9.4","28.3",".151","",".516","10.7","70.8",".363"
"75","75","2019-03-26","@","NOP","W","130","120","44","97",".454","19","51",".373","23","26",".885","9","41","30","13","4","16","26","","39","83",".470","12","34",".353","30","40",".750","8","45","28","10","6","24","23","115.1","106.2","112.9",".268",".526",".599","47.7","68.2","11.5","8.2","",".552","12.9","19.6",".237","",".542","19.3","80.0",".361"
"76","76","2019-03-29","","POR","L","98","118","38","94",".404","9","38",".237","13","14",".929","8","41","20","5","7","10","22","","45","96",".469","9","32",".281","19","22",".864","10","55","19","4","4","9","9","97.2","117.0","100.8",".149",".404",".489","42.7","52.6","5.0","10.9","",".452","9.1","15.1",".138","",".516","7.8","76.7",".198"
"77","77","2019-03-31","","MIL","W","136","135","52","118",".441","22","61",".361","10","17",".588","15","58","36","10","10","9","13","","48","116",".414","17","55",".309","22","23",".957","22","71","30","6","3","16","20","116.3","115.5","105.9",".144",".517",".542","45.0","69.2","8.6","16.4","",".534","6.7","23.4",".085","",".487","11.3","66.2",".190"
"78","78","2019-04-02","@","SAS","L","111","117","43","94",".457","12","34",".353","13","20",".650","11","43","26","13","2","11","18","","42","80",".525","14","30",".467","19","22",".864","4","45","23","6","6","16","17","110.0","116.0","100.9",".213",".362",".540","48.9","60.5","12.9","4.0","",".521","9.7","21.2",".138","",".613","15.1","88.9",".238"
"79","79","2019-04-03","","PHI","W","130","122","48","92",".522","12","36",".333","22","28",".786","11","44","29","7","7","11","26","","45","98",".459","10","31",".323","22","38",".579","26","57","27","8","4","13","24","128.0","120.2","101.5",".304",".391",".623","43.6","60.4","6.9","10.4","",".587","9.5","26.2",".239","",".510","10.2","55.9",".224"
"80","80","2019-04-05","@","ORL","L","113","149","41","94",".436","10","39",".256","21","31",".677","10","38","21","16","4","14","21","","56","92",".609","18","37",".486","19","25",".760","9","54","35","11","4","19","24","101.9","134.4","110.9",".330",".415",".525","41.3","51.2","14.4","7.3","",".489","11.5","18.2",".223","",".707","15.6","75.7",".207"
"81","81","2019-04-07","@","MIL","L","107","115","40","100",".400","17","45",".378","10","19",".526","9","48","25","2","3","11","28","","40","91",".440","9","41",".220","26","34",".765","11","61","19","8","10","14","23","99.3","106.8","107.7",".190",".450",".494","44.0","62.5","1.9","6.0","",".485","9.2","15.3",".100","",".489","11.7","78.0",".286"
"82","82","2019-04-10","","IND","L","134","135","43","103",".417","17","41",".415","31","38",".816","22","61","29","5","7","17","25","","45","98",".459","12","30",".400","33","39",".846","13","43","22","12","7","8","28","124.4","125.3","107.7",".369",".398",".560","58.7","67.4","4.6","10.3","",".500","12.4","42.3",".301","",".520","6.5","75.0",".337"
