Rk,G,Date,Â ,Opp
1,1,2018-10-17,,MIN
2,2,2018-10-20,@,POR
3,3,2018-10-22,@,LAL
4,4,2018-10-24,,IND
5,5,2018-10-27,,LAL
6,6,2018-10-29,,DAL
7,7,2018-10-31,@,PHO
8,8,2018-11-03,,NOP
9,9,2018-11-04,,ORL
10,10,2018-11-07,@,MIA
11,11,2018-11-10,,HOU
12,12,2018-11-12,@,SAC
13,13,2018-11-14,@,PHO
14,14,2018-11-15,@,LAC
15,15,2018-11-18,,GSW
16,16,2018-11-19,@,NOP
17,17,2018-11-21,,MEM
18,18,2018-11-23,@,IND
19,19,2018-11-24,@,MIL
20,20,2018-11-26,@,CHI
21,21,2018-11-28,@,MIN
22,22,2018-11-30,,HOU
23,23,2018-12-02,,POR
24,24,2018-12-04,@,UTA
25,25,2018-12-05,@,LAL
26,26,2018-12-07,,LAL
27,27,2018-12-09,,UTA
28,28,2018-12-11,,PHO
29,29,2018-12-13,,LAC
30,30,2018-12-15,,CHI
31,31,2018-12-17,,PHI
32,32,2018-12-19,@,ORL
33,33,2018-12-21,,MIN
34,34,2018-12-22,@,HOU
35,35,2018-12-26,,DEN
36,36,2018-12-28,@,DEN
37,37,2018-12-29,@,LAC
38,38,2018-12-31,,BOS
39,39,2019-01-03,,TOR
40,40,2019-01-05,,MEM
41,41,2019-01-07,@,DET
42,42,2019-01-09,@,MEM
43,43,2019-01-10,,OKC
44,44,2019-01-12,@,OKC
45,45,2019-01-14,,CHO
46,46,2019-01-16,@,DAL
47,47,2019-01-18,@,MIN
48,48,2019-01-20,,LAC
49,49,2019-01-23,@,PHI
50,50,2019-01-26,@,NOP
51,51,2019-01-27,,WAS
52,52,2019-01-29,,PHO
53,53,2019-01-31,,BRK
54,54,2019-02-02,,NOP
55,55,2019-02-04,@,SAC
56,56,2019-02-06,@,GSW
57,57,2019-02-07,@,POR
58,58,2019-02-09,@,UTA
59,59,2019-02-12,@,MEM
60,60,2019-02-22,@,TOR
61,61,2019-02-24,@,NYK
62,62,2019-02-25,@,BRK
63,63,2019-02-27,,DET
64,64,2019-03-02,,OKC
65,65,2019-03-04,,DEN
66,66,2019-03-06,@,ATL
67,67,2019-03-10,,MIL
68,68,2019-03-12,@,DAL
69,69,2019-03-15,,NYK
70,70,2019-03-16,,POR
71,71,2019-03-18,,GSW
72,72,2019-03-20,,MIA
73,73,2019-03-22,@,HOU
74,74,2019-03-24,@,BOS
75,75,2019-03-26,@,CHO
76,76,2019-03-28,,CLE
77,77,2019-03-31,,SAC
78,78,2019-04-02,,ATL
79,79,2019-04-03,@,DEN
80,80,2019-04-05,@,WAS
81,81,2019-04-07,@,CLE
82,82,2019-04-10,,DAL
